CustomerID	Gender	FirstName	LastName	EmailPromotion	city	country	lat	long
1	Male 	Gustavo	Achong	2	Peabody	USA	42.53	-70.97
2	Female 	Catherine	Abel	1	Reno	USA	39.54	-119.82
3	Female 	Kim	Abercrombie	0	Rialto	USA	34.11	-117.39
4	Male 	Humberto	Acevedo	2	Carson City	USA	39.15	-119.74
5	Female 	Frances	Adams	1	Chicago	USA	41.84	-87.68
6	Female 	Margaret	Smith	0	New York	USA	40.67	-73.94
7	Female 	Carla	Adams	0	Durham	USA	35.98	-78.91
8	Male 	Jay	Adams	1	New York	USA	40.67	-73.94
9	Male 	Ronald	Adina	0	Burke	USA	38.78	-77.27
10	Male 	Robert	Ahlering	0	New York	USA	40.67	-73.94
11	Male 	François	Ferrier	1	Oklahoma City	USA	35.47	-97.51
12	Female 	Kim	Akers	2	Charlotte	USA	35.2	-80.83
13	Female 	Anna	Albright	1	Chicago	USA	41.84	-87.68
14	Male 	Milton	Albury	0	Chesapeake	USA	36.68	-76.31
15	Male 	Paul	Alcorn	1	Brentwood	USA	37.93	-121.71
16	Male 	J. Phillip	Alexander	1	Seattle	USA	47.62	-122.35
17	Female 	Michelle	Alexander	2	Oakland	USA	37.77	-122.22
18	Male 	Sean	Jacobson	2	Stratford	USA	41.2	-73.13
19	Female 	Phyllis	Allen	1	Topeka	USA	39.04	-95.69
20	Male 	Marvin	Allen	0	Fort Lauderdale	USA	26.14	-80.14
21	Male 	Michael	Allen	2	Newport News	USA	37.08	-76.51
22	Male 	Oscar	Alpuerto	1	New York	USA	40.67	-73.94
23	Female 	Selena	Alvarado	0	New York	USA	40.67	-73.94
24	Male 	Emilio	Alvaro	1	Kansas City	USA	39.12	-94.73
25	Female 	Ramona	Antrim	0	Amarillo	USA	35.2	-101.82
26	Female 	Sabria	Appelbaum	0	Lawton	USA	34.6	-98.42
27	Female 	Hannah	Arakawa	0	Houston	USA	29.77	-95.39
28	Female 	Kyley	Arbelaez	1	Houston	USA	29.77	-95.39
29	Male 	Tom	Johnston	1	Casas Adobes	USA	32.32	-110.99
30	Male 	Thomas	Armstrong	0	Bridgeport	USA	41.19	-73.2
31	Male 	John	Arthur	0	Birmingham	USA	33.53	-86.8
32	Male 	Chris	Ashton	1	Memphis	USA	35.11	-90.01
33	Female 	Teresa	Atkinson	0	Chicago	USA	41.84	-87.68
34	Male 	Stephen	Ayers	0	Quincy	USA	39.93	-91.39
35	Male 	Cory	Booth	1	Los Angeles	USA	34.11	-118.41
36	Male 	James	Bailey	0	Federal Way	USA	47.31	-122.34
37	Male 	Douglas	Baldwin	0	Rancho Cucamonga	USA	34.12	-117.57
38	Female 	Jennifer	Bales	1	Fontana	USA	34.1	-117.46
39	Male 	Wayne	Banack	2	Cuyahoga Falls	USA	41.17	-81.52
40	Male 	Robert	Barker	0	Gilbert	USA	33.33	-111.76
41	Male 	Adam	Barr	1	Redford	USA	42.39	-83.29
42	Female 	Karel	Bates	1	Shreveport	USA	32.47	-93.8
43	Male 	John	Beaver	0	Indianapolis	USA	39.78	-86.15
44	Male 	Shane	Belli	1	Austin	USA	30.31	-97.75
45	Male 	Stanley	Alan	0	Los Angeles	USA	34.11	-118.41
46	Male 	Mason	Bendixen	0	Oklahoma City	USA	35.47	-97.51
47	Female 	Edna	Benson	0	Hesperia	USA	34.42	-117.3
48	Male 	Payton	Benson	0	Meriden	USA	41.54	-72.8
49	Male 	Max	Benson	0	New York	USA	40.67	-73.94
50	Male 	Robert	Bernacchi	1	New York	USA	40.67	-73.94
51	Male 	Matthias	Berndt	1	Toms River	USA	39.94	-74.17
52	Male 	John	Berry	0	Stratford	USA	41.2	-73.13
53	Male 	Steven	Brown	0	Chicopee	USA	42.18	-72.57
54	Male 	Chris	Bidelman	0	New York	USA	40.67	-73.94
55	Male 	Jimmy	Bischoff	1	Chicago	USA	41.84	-87.68
